LAD13CD,LAD13CDO,LAD13NM,FLUOCC,C_LAT,C_LON,TOTALOCC,RATE
E07000213,43UH,Spelthorne,0,51.424753294605324,-0.4679901948905848,0,NA
E07000214,43UJ,Surrey Heath,0,51.342872657706074,-0.6705150190746159,0,NA
E07000215,43UK,Tandridge,0,51.22701691323894,-0.04338162331166384,0,NA
E07000216,43UL,Waverley,0,51.149743996081185,-0.6327218906906404,0,NA
E07000217,43UM,Woking,0,51.31382149804919,-0.5607480518892857,0,NA
E07000218,44UB,North Warwickshire,0,52.547504869850464,-1.6280342839273596,0,NA
E07000219,44UC,Nuneaton and Bedworth,0,52.50110645220385,-1.47587364661961,0,NA
E07000220,44UD,Rugby,0,52.384403666564154,-1.328343674752251,0,NA
E07000221,44UE,Stratford-on-Avon,0,52.178774460295614,-1.6229636398087712,0,NA
E07000222,44UF,Warwick,0,52.30997064877424,-1.584688951183669,0,NA
E07000223,45UB,Adur,0,50.84440947383846,-0.29859190924619944,0,NA
E07000224,45UC,Arun,0,50.840886399903205,-0.5679129432522191,0,NA
E07000225,45UD,Chichester,0,50.93758789107297,-0.7419755446915086,0,NA
E07000226,45UE,Crawley,0,51.12541546769542,-0.18201465854197038,0,NA
E07000227,45UF,Horsham,0,50.99377076357239,-0.3662645451056464,0,NA
E07000228,45UG,Mid Sussex,0,51.02085969142035,-0.12692151586334519,0,NA
E07000229,45UH,Worthing,0,50.829140395001886,-0.3958023082982101,0,NA
E07000234,47UB,Bromsgrove,0,52.36172814810461,-2.0160494754936127,0,NA
E07000235,47UC,Malvern Hills,0,52.18292076479958,-2.345041647573652,0,NA
E07000236,47UD,Redditch,0,52.28225923733289,-1.9518493202123133,0,NA
E07000237,47UE,Worcester,0,52.19666103763948,-2.211338784519296,0,NA
E07000238,47UF,Wychavon,0,52.16427362310778,-2.051074900674663,0,NA
E07000239,47UG,Wyre Forest,0,52.379542059973396,-2.2746638276496993,0,NA
E07000240,26UG,St Albans,0,51.77204485720741,-0.3424751719191811,0,NA
E07000241,26UL,Welwyn Hatfield,0,51.76687479850212,-0.1941000410009392,0,NA
E07000242,26UD,East Hertfordshire,0,51.86505371334906,-0.008197154835440815,0,NA
E07000243,26UH,Stevenage,0,51.90429316318348,-0.18932628094571588,0,NA
E08000001,00BL,Bolton,0,53.57862688133243,-2.466987047078448,0,NA
E08000002,00BM,Bury,0,53.58786138840759,-2.3125878750166606,0,NA
E08000003,00BN,Manchester,0,53.45152927853347,-2.232483957492278,0,NA
E08000004,00BP,Oldham,0,53.551876030285044,-2.0506501805122013,0,NA
E08000005,00BQ,Rochdale,0,53.61655699260054,-2.157838305193517,0,NA
E08000006,00BR,Salford,0,53.4895338503966,-2.3701738101454186,0,NA
E08000007,00BS,Stockport,0,53.393949796792285,-2.1281031028215973,0,NA
E08000008,00BT,Tameside,0,53.477468466610325,-2.0628097628058546,0,NA
E08000009,00BU,Trafford,0,53.41899998230484,-2.3553493139043358,0,NA
E08000010,00BW,Wigan,0,53.524147717024334,-2.5895924920921662,0,NA
E08000011,00BX,Knowsley,0,53.42512533735749,-2.8340999052828306,0,NA
E08000012,00BY,Liverpool,0,53.395473088693144,-2.9170730253928783,0,NA
E08000013,00BZ,St. Helens,0,53.45947721908549,-2.723657722020376,0,NA
E08000014,00CA,Sefton,0,53.56530314160833,-3.016229285015407,0,NA
E08000015,00CB,Wirral,0,53.36931758317277,-3.092446411011381,0,NA
E08000016,00CC,Barnsley,0,53.53581924960558,-1.5325138526953104,0,NA
E08000017,00CE,Doncaster,0,53.54433452384291,-1.095677876727208,0,NA
E08000018,00CF,Rotherham,0,53.408643602750054,-1.28624817008049,0,NA
E08000019,00CG,Sheffield,0,53.40441510137114,-1.5504993690932867,0,NA
E08000021,00CJ,Newcastle upon Tyne,0,55.00770092819051,-1.6578254858297587,0,NA
E08000022,00CK,North Tyneside,0,55.028133499552716,-1.5171080363828977,0,NA
E08000023,00CL,South Tyneside,0,54.963579972782355,-1.44417532543805,0,NA
E08000024,00CM,Sunderland,0,54.88043308720118,-1.4519297577813979,0,NA
E08000025,00CN,Birmingham,0,52.48856511776392,-1.8747234415792158,0,NA
E08000026,00CQ,Coventry,0,52.41683859650487,-1.5197551259527067,0,NA
E08000027,00CR,Dudley,0,52.482838341192746,-2.1087591338153246,0,NA
E08000028,00CS,Sandwell,0,52.515410333487836,-2.008972617982868,0,NA
E08000029,00CT,Solihull,0,52.4130934407959,-1.7270799146300786,0,NA
E08000030,00CU,Walsall,0,52.59923342542808,-1.9663526010323886,0,NA
E08000031,00CW,Wolverhampton,0,52.58916903247684,-2.121007126471379,0,NA
E08000032,00CX,Bradford,0,53.84470098816906,-1.8547320899396407,0,NA
E08000033,00CY,Calderdale,0,53.7211768077611,-1.9734583598481672,0,NA
E08000034,00CZ,Kirklees,0,53.62737644626667,-1.7632028546853293,0,NA
E08000035,00DA,Leeds,0,53.825763999812615,-1.506019226804518,0,NA
E08000036,00DB,Wakefield,0,53.66065753975017,-1.411795772136364,0,NA
E08000037,00CH,Gateshead,0,54.93537127844615,-1.6829010255173795,0,NA
E09000001,00AA,City of London,0,51.51436016422593,-0.09241769181744867,0,NA
E09000002,00AB,Barking and Dagenham,0,51.54390621925141,0.13319493655164036,0,NA
E09000003,00AC,Barnet,0,51.61597588484802,-0.20999840063711683,0,NA
E09000004,00AD,Bexley,0,51.460824356445755,0.14238316544076868,0,NA
E09000005,00AE,Brent,0,51.55850386975393,-0.26780343844589716,0,NA
E09000006,00AF,Bromley,0,51.37194246828392,0.05154643569535417,0,NA
E09000007,00AG,Camden,0,51.54634166661319,-0.15740429530650427,0,NA
E09000008,00AH,Croydon,0,51.35527790771046,-0.08713708980478407,0,NA
E09000009,00AJ,Ealing,0,51.522422059176996,-0.3310105984062704,0,NA
E09000010,00AK,Enfield,0,51.65094459354251,-0.08725031798764353,0,NA
E09000011,00AL,Greenwich,0,51.47437703856844,0.05556965239821843,0,NA
E09000012,00AM,Hackney,0,51.55221374669158,-0.0632949673082854,0,NA
E09000013,00AN,Hammersmith and Fulham,0,51.49495664166269,-0.22077120107151174,0,NA
E09000014,00AP,Haringey,0,51.59032016213735,-0.1074490465114636,0,NA
E09000015,00AQ,Harrow,0,51.597671351687545,-0.341250721274605,0,NA
E09000016,00AR,Havering,0,51.563067539738334,0.2204463871196752,0,NA
E09000017,00AS,Hillingdon,0,51.54146096108173,-0.445643991255779,0,NA
E09000018,00AT,Hounslow,0,51.46844081114051,-0.3661196629990689,0,NA
E09000019,00AU,Islington,0,51.5484337597073,-0.11023047416968426,0,NA
E09000020,00AW,Kensington and Chelsea,0,51.501152942605444,-0.19220108483869264,0,NA
E09000021,00AX,Kingston upon Thames,0,51.38785037066463,-0.28688465718270645,0,NA
E09000022,00AY,Lambeth,0,51.45378410956681,-0.11828942562943036,0,NA
E09000023,00AZ,Lewisham,0,51.44822874373839,-0.020268301385005346,0,NA
E09000024,00BA,Merton,0,51.40989415656793,-0.19723439544242466,0,NA
E09000025,00BB,Newham,0,51.52683618097027,0.03756011055086072,0,NA
E09000026,00BC,Redbridge,0,51.585605019884426,0.07588773838640321,0,NA
E09000027,00BD,Richmond upon Thames,0,51.44269406273873,-0.3123341458556327,0,NA
E09000028,00BE,Southwark,0,51.47418426770027,-0.07403443173528812,0,NA
E09000029,00BF,Sutton,0,51.362033710888255,-0.1775552432860304,0,NA
E09000030,00BG,Tower Hamlets,0,51.515687169175585,-0.03463999651847128,0,NA
E09000031,00BH,Waltham Forest,0,51.59398066450649,-0.01261767533816666,0,NA
E09000032,00BJ,Wandsworth,0,51.45191900404548,-0.1861727428980895,0,NA
E09000033,00BK,Westminster,0,51.51339070127847,-0.16044802112544615,0,NA
S12000005,00QF,Clackmannanshire,0,56.150526873791655,-3.742224252066296,0,NA
S12000006,00QH,Dumfries and Galloway,0,55.070630721751506,-3.9568237840262066,0,NA
S12000008,00QK,East Ayrshire,0,55.48539532649407,-4.314383304312137,0,NA
S12000010,00QM,East Lothian,0,55.94203431100567,-2.7208668924654797,0,NA
S12000011,00QN,East Renfrewshire,0,55.75318583068386,-4.359620672554105,0,NA
S12000013,00RJ,Eilean Siar,0,57.91138959632681,-6.867792198688965,0,NA
S12000014,00QQ,Falkirk,0,55.997382754361574,-3.7906767649548656,0,NA
S12000015,00QR,Fife,0,56.22919717922279,-3.1236128512238373,0,NA
S12000017,00QT,Highland,0,57.579179532105705,-4.761325863856384,0,NA
S12000018,00QU,Inverclyde,0,55.90445860042221,-4.742733743769722,0,NA
S12000019,00QW,Midlothian,0,55.83225712526032,-3.1103983421920316,0,NA
S12000020,00QX,Moray,0,57.47599823721504,-3.267186347947081,0,NA
S12000021,00QY,North Ayrshire,0,55.650571997931074,-4.979551187301945,0,NA
S12000023,00RA,Orkney Islands,0,59.02968117794038,-3.0350761282252194,0,NA
S12000024,00RB,Perth and Kinross,0,56.56590709088829,-3.819911206605548,0,NA
